"hour","bc_us_MWh","bc_ab_MWh","datetime_pst"
20,-2380,-3,2007-12-20 19:00:00
21,-2443,16,2007-12-20 20:00:00
22,-2448,47,2007-12-20 21:00:00
23,-2155,-343,2007-12-20 22:00:00
24,-2085,-90,2007-12-20 23:00:00
1,-1617,-196,2008-01-20
2,-1832,-176,2008-01-20 01:00:00
3,-1900,-191,2008-01-20 02:00:00
4,-1834,-245,2008-01-20 03:00:00
5,-1894,-213,2008-01-20 04:00:00
6,-1928,-115,2008-01-20 05:00:00
7,-799,-39,2008-01-20 06:00:00
8,-724,-21,2008-01-20 07:00:00
9,-795,-21,2008-01-20 08:00:00
10,-773,-22,2008-01-20 09:00:00
11,-795,18,2008-01-20 10:00:00
12,-768,-8,2008-01-20 11:00:00
13,-704,-31,2008-01-20 12:00:00
14,-527,4,2008-01-20 13:00:00
15,-553,73,2008-01-20 14:00:00
16,-734,201,2008-01-20 15:00:00
17,-924,232,2008-01-20 16:00:00
18,-507,230,2008-01-20 17:00:00
19,251,229,2008-01-20 18:00:00
20,390,190,2008-01-20 19:00:00
21,238,148,2008-01-20 20:00:00
22,-279,21,2008-01-20 21:00:00
23,-2140,49,2008-01-20 22:00:00
24,-2361,-11,2008-01-20 23:00:00
1,-2195,-92,2008-02-20
2,-2134,-111,2008-02-20 01:00:00
3,-1911,-234,2008-02-20 02:00:00
4,-1933,-291,2008-02-20 03:00:00
5,-2031,-216,2008-02-20 04:00:00
6,-2166,-86,2008-02-20 05:00:00
7,-1616,-24,2008-02-20 06:00:00
8,-1563,-67,2008-02-20 07:00:00
9,-1483,-3,2008-02-20 08:00:00
10,-1579,4,2008-02-20 09:00:00
11,-1601,14,2008-02-20 10:00:00
12,-1522,32,2008-02-20 11:00:00
13,-1442,17,2008-02-20 12:00:00
14,-1072,66,2008-02-20 13:00:00
15,-439,48,2008-02-20 14:00:00
16,-743,69,2008-02-20 15:00:00
17,-939,115,2008-02-20 16:00:00
18,-956,65,2008-02-20 17:00:00
19,-760,101,2008-02-20 18:00:00
20,-826,308,2008-02-20 19:00:00
21,-835,250,2008-02-20 20:00:00
22,-949,-6,2008-02-20 21:00:00
23,-2346,3,2008-02-20 22:00:00
24,-2275,-77,2008-02-20 23:00:00
1,-2019,-263,2008-03-20
2,-1761,-394,2008-03-20 01:00:00
3,-1834,-349,2008-03-20 02:00:00
4,-1839,-329,2008-03-20 03:00:00
5,-1942,-334,2008-03-20 04:00:00
6,-1918,-300,2008-03-20 05:00:00
7,-1540,-196,2008-03-20 06:00:00
8,-1128,-149,2008-03-20 07:00:00
9,-1065,-239,2008-03-20 08:00:00
10,-725,-180,2008-03-20 09:00:00
11,-560,-164,2008-03-20 10:00:00
12,-351,-149,2008-03-20 11:00:00
13,126,-152,2008-03-20 12:00:00
14,396,7,2008-03-20 13:00:00
15,188,-35,2008-03-20 14:00:00
16,62,-51,2008-03-20 15:00:00
17,-302,61,2008-03-20 16:00:00
18,-589,110,2008-03-20 17:00:00
19,-486,115,2008-03-20 18:00:00
20,-531,138,2008-03-20 19:00:00
21,-666,186,2008-03-20 20:00:00
22,-695,164,2008-03-20 21:00:00
23,-1784,-132,2008-03-20 22:00:00
24,-1890,-262,2008-03-20 23:00:00
1,-1886,-226,2008-04-20
2,-1883,-159,2008-04-20 01:00:00
3,-1902,-76,2008-04-20 02:00:00
4,-1902,-96,2008-04-20 03:00:00
5,-1917,-83,2008-04-20 04:00:00
6,-1893,8,2008-04-20 05:00:00
7,-801,36,2008-04-20 06:00:00
8,-896,53,2008-04-20 07:00:00
9,-1094,161,2008-04-20 08:00:00
10,-1275,124,2008-04-20 09:00:00
11,-1111,178,2008-04-20 10:00:00
12,-907,68,2008-04-20 11:00:00
13,-856,87,2008-04-20 12:00:00
14,-692,169,2008-04-20 13:00:00
15,70,109,2008-04-20 14:00:00
16,-333,120,2008-04-20 15:00:00
17,-644,147,2008-04-20 16:00:00
18,-686,107,2008-04-20 17:00:00
19,-912,102,2008-04-20 18:00:00
20,-556,25,2008-04-20 19:00:00
21,-200,23,2008-04-20 20:00:00
22,-667,14,2008-04-20 21:00:00
23,-2295,36,2008-04-20 22:00:00
24,-2217,-76,2008-04-20 23:00:00
1,-2127,-192,2008-05-20
2,-2003,-241,2008-05-20 01:00:00
3,-1820,-291,2008-05-20 02:00:00
4,-1738,-275,2008-05-20 03:00:00
5,-1865,-136,2008-05-20 04:00:00
6,-1949,-22,2008-05-20 05:00:00
7,-1191,-28,2008-05-20 06:00:00
8,-1144,75,2008-05-20 07:00:00
9,-1418,-17,2008-05-20 08:00:00
10,-1693,-29,2008-05-20 09:00:00
11,-1713,-21,2008-05-20 10:00:00
12,-1724,19,2008-05-20 11:00:00
13,-1501,-29,2008-05-20 12:00:00
14,-1180,-5,2008-05-20 13:00:00
15,-823,89,2008-05-20 14:00:00
16,-664,105,2008-05-20 15:00:00
17,-342,196,2008-05-20 16:00:00
18,72,234,2008-05-20 17:00:00
19,612,379,2008-05-20 18:00:00
20,1075,279,2008-05-20 19:00:00
21,676,242,2008-05-20 20:00:00
22,-92,136,2008-05-20 21:00:00
23,-2028,61,2008-05-20 22:00:00
24,-2250,20,2008-05-20 23:00:00
1,-2222,-52,2008-06-20
2,-2051,-36,2008-06-20 01:00:00
3,-2088,7,2008-06-20 02:00:00
4,-2056,8,2008-06-20 03:00:00
5,-1878,3,2008-06-20 04:00:00
6,-1892,-7,2008-06-20 05:00:00
7,-1885,38,2008-06-20 06:00:00
8,-2129,-13,2008-06-20 07:00:00
9,-2258,-6,2008-06-20 08:00:00
10,-2365,-36,2008-06-20 09:00:00
11,-2252,-18,2008-06-20 10:00:00
12,-2107,3,2008-06-20 11:00:00
13,-2284,-11,2008-06-20 12:00:00
14,-2038,-19,2008-06-20 13:00:00
15,-1405,12,2008-06-20 14:00:00
16,-1290,5,2008-06-20 15:00:00
17,-1048,122,2008-06-20 16:00:00
18,-897,272,2008-06-20 17:00:00
19,-404,239,2008-06-20 18:00:00
20,-201,212,2008-06-20 19:00:00
21,-503,99,2008-06-20 20:00:00
22,-1190,61,2008-06-20 21:00:00
23,-2346,32,2008-06-20 22:00:00
24,-2336,65,2008-06-20 23:00:00
1,-2121,-22,2008-07-20
2,-1999,-98,2008-07-20 01:00:00
3,-1909,-84,2008-07-20 02:00:00
4,-1876,-23,2008-07-20 03:00:00
5,-1932,-8,2008-07-20 04:00:00
6,-1911,-11,2008-07-20 05:00:00
7,-934,9,2008-07-20 06:00:00
8,-988,27,2008-07-20 07:00:00
9,-909,-4,2008-07-20 08:00:00
10,-677,-78,2008-07-20 09:00:00
11,-915,-67,2008-07-20 10:00:00
12,-925,24,2008-07-20 11:00:00
13,-873,15,2008-07-20 12:00:00
14,-750,-6,2008-07-20 13:00:00
15,-320,125,2008-07-20 14:00:00
16,-281,296,2008-07-20 15:00:00
17,294,376,2008-07-20 16:00:00
18,722,414,2008-07-20 17:00:00
19,781,402,2008-07-20 18:00:00
20,1431,412,2008-07-20 19:00:00
21,948,413,2008-07-20 20:00:00
22,-104,241,2008-07-20 21:00:00
23,-2128,91,2008-07-20 22:00:00
24,-2285,39,2008-07-20 23:00:00
1,-2044,-13,2008-08-20
2,-1979,12,2008-08-20 01:00:00
3,-1843,-76,2008-08-20 02:00:00
4,-1842,-71,2008-08-20 03:00:00
5,-1900,-32,2008-08-20 04:00:00
6,-2137,91,2008-08-20 05:00:00
7,-1398,129,2008-08-20 06:00:00
8,-1226,62,2008-08-20 07:00:00
9,-1370,29,2008-08-20 08:00:00
10,-1673,50,2008-08-20 09:00:00
11,-1847,170,2008-08-20 10:00:00
12,-1950,192,2008-08-20 11:00:00
13,-1970,304,2008-08-20 12:00:00
14,-1752,182,2008-08-20 13:00:00
15,-1185,125,2008-08-20 14:00:00
16,-993,256,2008-08-20 15:00:00
17,-248,301,2008-08-20 16:00:00
18,-146,255,2008-08-20 17:00:00
19,-519,321,2008-08-20 18:00:00
20,-484,285,2008-08-20 19:00:00
21,-1100,198,2008-08-20 20:00:00
22,-1430,86,2008-08-20 21:00:00
23,-2354,-135,2008-08-20 22:00:00
24,-2306,-13,2008-08-20 23:00:00
1,-2076,-17,2008-09-20
2,-2076,-9,2008-09-20 01:00:00
3,-1986,-35,2008-09-20 02:00:00
4,-1911,-34,2008-09-20 03:00:00
5,-1944,-40,2008-09-20 04:00:00
6,-1937,-31,2008-09-20 05:00:00
7,-2142,46,2008-09-20 06:00:00
8,-2108,123,2008-09-20 07:00:00
9,-1897,213,2008-09-20 08:00:00
10,-1746,163,2008-09-20 09:00:00
11,-1678,143,2008-09-20 10:00:00
12,-1320,-52,2008-09-20 11:00:00
13,-984,-11,2008-09-20 12:00:00
14,-955,-28,2008-09-20 13:00:00
15,-552,-35,2008-09-20 14:00:00
16,-461,-80,2008-09-20 15:00:00
17,-849,-141,2008-09-20 16:00:00
18,-2004,89,2008-09-20 17:00:00
19,-1883,33,2008-09-20 18:00:00
20,-1959,-39,2008-09-20 19:00:00
21,-1884,-47,2008-09-20 20:00:00
22,-1898,-119,2008-09-20 21:00:00
23,-1814,-220,2008-09-20 22:00:00
24,-1811,-218,2008-09-20 23:00:00
1,-1733,-297,2008-10-20
2,-1650,-292,2008-10-20 01:00:00
3,-1561,-377,2008-10-20 02:00:00
4,-1562,-364,2008-10-20 03:00:00
5,-1560,-387,2008-10-20 04:00:00
6,-1793,-231,2008-10-20 05:00:00
7,-1632,-127,2008-10-20 06:00:00
8,-2143,-25,2008-10-20 07:00:00
9,-2397,20,2008-10-20 08:00:00
10,-2458,-91,2008-10-20 09:00:00
11,-2460,-117,2008-10-20 10:00:00
12,-2431,-192,2008-10-20 11:00:00
13,-2380,-226,2008-10-20 12:00:00
14,-2353,-240,2008-10-20 13:00:00
15,-2071,-232,2008-10-20 14:00:00
16,-1953,-170,2008-10-20 15:00:00
17,-2286,-8,2008-10-20 16:00:00
18,-2061,26,2008-10-20 17:00:00
19,-2235,-32,2008-10-20 18:00:00
20,-1961,-31,2008-10-20 19:00:00
21,-1937,-121,2008-10-20 20:00:00
22,-2073,-190,2008-10-20 21:00:00
23,-2202,-227,2008-10-20 22:00:00
24,-2303,-48,2008-10-20 23:00:00
1,-2026,-132,2008-11-20
2,-1965,-101,2008-11-20 01:00:00
3,-1751,-197,2008-11-20 02:00:00
4,-1716,-284,2008-11-20 03:00:00
5,-1814,-149,2008-11-20 04:00:00
6,-1956,-86,2008-11-20 05:00:00
7,-2042,-122,2008-11-20 06:00:00
8,-2398,-41,2008-11-20 07:00:00
9,-2436,-66,2008-11-20 08:00:00
10,-2449,-200,2008-11-20 09:00:00
11,-2419,-210,2008-11-20 10:00:00
12,-2396,-236,2008-11-20 11:00:00
13,-2365,-186,2008-11-20 12:00:00
14,-2176,-134,2008-11-20 13:00:00
15,-1907,-153,2008-11-20 14:00:00
16,-2066,-133,2008-11-20 15:00:00
17,-2078,20,2008-11-20 16:00:00
18,-2173,62,2008-11-20 17:00:00
19,-2310,-24,2008-11-20 18:00:00
20,-2398,-27,2008-11-20 19:00:00
21,-2433,47,2008-11-20 20:00:00
22,-2376,36,2008-11-20 21:00:00
23,-2449,147,2008-11-20 22:00:00
24,-2390,30,2008-11-20 23:00:00
1,-2136,-70,2008-12-20
2,-2143,49,2008-12-20 01:00:00
3,-2238,126,2008-12-20 02:00:00
4,-2170,64,2008-12-20 03:00:00
5,-2059,19,2008-12-20 04:00:00
6,-1973,-20,2008-12-20 05:00:00
7,-2107,21,2008-12-20 06:00:00
8,-2227,66,2008-12-20 07:00:00
9,-2373,142,2008-12-20 08:00:00
10,-2397,88,2008-12-20 09:00:00
11,-2382,69,2008-12-20 10:00:00
12,-2406,68,2008-12-20 11:00:00
13,-2351,84,2008-12-20 12:00:00
14,-2379,21,2008-12-20 13:00:00
15,-2158,-95,2008-12-20 14:00:00
16,-2122,-49,2008-12-20 15:00:00
17,-2004,-128,2008-12-20 16:00:00
18,-1630,-19,2008-12-20 17:00:00
19,-1750,51,2008-12-20 18:00:00
20,-1751,18,2008-12-20 19:00:00
21,-1933,138,2008-12-20 20:00:00
22,-2026,77,2008-12-20 21:00:00
23,-2421,41,2008-12-20 22:00:00
24,-2269,50,2008-12-20 23:00:00
1,-978,16,2009-01-20
2,-1053,-30,2009-01-20 01:00:00
3,-1201,-19,2009-01-20 02:00:00
4,-1133,54,2009-01-20 03:00:00
5,-1090,57,2009-01-20 04:00:00
6,-989,162,2009-01-20 05:00:00
7,69,111,2009-01-20 06:00:00
8,119,125,2009-01-20 07:00:00
9,-207,126,2009-01-20 08:00:00
10,-261,145,2009-01-20 09:00:00
11,-243,185,2009-01-20 10:00:00
12,-280,244,2009-01-20 11:00:00
13,-150,239,2009-01-20 12:00:00
14,-58,222,2009-01-20 13:00:00
15,282,203,2009-01-20 14:00:00
16,456,234,2009-01-20 15:00:00
17,852,291,2009-01-20 16:00:00
18,944,273,2009-01-20 17:00:00
19,984,283,2009-01-20 18:00:00
20,1075,165,2009-01-20 19:00:00
21,1080,29,2009-01-20 20:00:00
22,937,2,2009-01-20 21:00:00
23,-495,-32,2009-01-20 22:00:00
24,-610,-22,2009-01-20 23:00:00
1,224,-98,2009-02-20
2,216,-261,2009-02-20 01:00:00
3,134,-360,2009-02-20 02:00:00
4,-6,-334,2009-02-20 03:00:00
5,-49,-308,2009-02-20 04:00:00
6,165,-277,2009-02-20 05:00:00
7,636,-225,2009-02-20 06:00:00
8,270,-116,2009-02-20 07:00:00
9,-675,-7,2009-02-20 08:00:00
10,-585,-19,2009-02-20 09:00:00
11,-508,-97,2009-02-20 10:00:00
12,-509,-62,2009-02-20 11:00:00
13,-297,-23,2009-02-20 12:00:00
14,-346,-4,2009-02-20 13:00:00
15,-35,-10,2009-02-20 14:00:00
16,169,-42,2009-02-20 15:00:00
17,1016,-20,2009-02-20 16:00:00
18,1417,28,2009-02-20 17:00:00
19,1317,108,2009-02-20 18:00:00
20,1265,106,2009-02-20 19:00:00
21,1244,3,2009-02-20 20:00:00
22,940,-39,2009-02-20 21:00:00
23,-194,-59,2009-02-20 22:00:00
24,-460,-125,2009-02-20 23:00:00
1,-165,-192,2009-03-20
2,-80,-385,2009-03-20 01:00:00
3,-141,-483,2009-03-20 02:00:00
4,-340,-394,2009-03-20 03:00:00
5,-306,-297,2009-03-20 04:00:00
6,-434,-305,2009-03-20 05:00:00
7,-360,-277,2009-03-20 06:00:00
8,-402,-193,2009-03-20 07:00:00
9,-1352,-234,2009-03-20 08:00:00
10,-1304,-129,2009-03-20 09:00:00
11,-1261,-125,2009-03-20 10:00:00
12,-1348,-173,2009-03-20 11:00:00
13,-1543,-283,2009-03-20 12:00:00
14,-1890,-378,2009-03-20 13:00:00
15,-1692,-293,2009-03-20 14:00:00
16,-1932,-178,2009-03-20 15:00:00
17,-1663,-84,2009-03-20 16:00:00
18,-1165,-133,2009-03-20 17:00:00
19,-1066,-74,2009-03-20 18:00:00
20,-1022,-86,2009-03-20 19:00:00
21,-1139,-159,2009-03-20 20:00:00
22,-1455,-116,2009-03-20 21:00:00
23,-1454,-213,2009-03-20 22:00:00
24,-1717,-24,2009-03-20 23:00:00
1,-2077,-9,2009-04-20
2,-1939,7,2009-04-20 01:00:00
3,-1825,4,2009-04-20 02:00:00
4,-1810,-3,2009-04-20 03:00:00
5,-1753,3,2009-04-20 04:00:00
6,-1586,-34,2009-04-20 05:00:00
7,-1176,1,2009-04-20 06:00:00
8,-1563,20,2009-04-20 07:00:00
9,-2236,160,2009-04-20 08:00:00
10,-2165,5,2009-04-20 09:00:00
11,-2215,-6,2009-04-20 10:00:00
12,-2280,6,2009-04-20 11:00:00
13,-2344,12,2009-04-20 12:00:00
14,-2373,393,2009-04-20 13:00:00
15,-2105,208,2009-04-20 14:00:00
16,-2135,159,2009-04-20 15:00:00
17,-1788,228,2009-04-20 16:00:00
18,-429,239,2009-04-20 17:00:00
19,-226,359,2009-04-20 18:00:00
20,-261,252,2009-04-20 19:00:00
21,-326,172,2009-04-20 20:00:00
22,-490,120,2009-04-20 21:00:00
23,-1581,141,2009-04-20 22:00:00
24,-1523,110,2009-04-20 23:00:00
1,-1992,24,2009-05-20
2,-1967,21,2009-05-20 01:00:00
3,-1985,-12,2009-05-20 02:00:00
4,-1905,-5,2009-05-20 03:00:00
5,-1759,-32,2009-05-20 04:00:00
6,-1800,23,2009-05-20 05:00:00
7,-1698,81,2009-05-20 06:00:00
8,-1690,89,2009-05-20 07:00:00
9,-2173,40,2009-05-20 08:00:00
10,-2266,6,2009-05-20 09:00:00
11,-2350,-52,2009-05-20 10:00:00
12,-2303,-103,2009-05-20 11:00:00
13,-2108,-137,2009-05-20 12:00:00
14,-1968,-240,2009-05-20 13:00:00
15,-1363,-236,2009-05-20 14:00:00
16,-1227,-227,2009-05-20 15:00:00
17,-880,-157,2009-05-20 16:00:00
18,-823,-145,2009-05-20 17:00:00
19,-510,-14,2009-05-20 18:00:00
20,-141,-35,2009-05-20 19:00:00
21,-678,-82,2009-05-20 20:00:00
22,-943,-88,2009-05-20 21:00:00
23,-2254,-226,2009-05-20 22:00:00
24,-2116,-167,2009-05-20 23:00:00
1,-1966,-234,2009-06-20
2,-1966,-233,2009-06-20 01:00:00
3,-2108,-34,2009-06-20 02:00:00
4,-2155,37,2009-06-20 03:00:00
5,-2143,52,2009-06-20 04:00:00
6,-1700,81,2009-06-20 05:00:00
7,-1946,235,2009-06-20 06:00:00
8,-2180,324,2009-06-20 07:00:00
9,-2409,325,2009-06-20 08:00:00
10,-2430,250,2009-06-20 09:00:00
11,-2332,49,2009-06-20 10:00:00
12,-2229,4,2009-06-20 11:00:00
13,-2246,219,2009-06-20 12:00:00
14,-2185,252,2009-06-20 13:00:00
15,-1962,247,2009-06-20 14:00:00
16,-2210,118,2009-06-20 15:00:00
17,-2031,134,2009-06-20 16:00:00
18,-1668,120,2009-06-20 17:00:00
19,-1797,157,2009-06-20 18:00:00
20,-1716,118,2009-06-20 19:00:00
21,-1743,117,2009-06-20 20:00:00
22,-2314,7,2009-06-20 21:00:00
23,-2432,-22,2009-06-20 22:00:00
24,-2295,13,2009-06-20 23:00:00
1,-2163,-40,2009-07-20
2,-2138,-15,2009-07-20 01:00:00
3,-2055,-32,2009-07-20 02:00:00
4,-2009,-34,2009-07-20 03:00:00
5,-2073,20,2009-07-20 04:00:00
6,-2033,94,2009-07-20 05:00:00
7,-1408,-18,2009-07-20 06:00:00
8,-1627,55,2009-07-20 07:00:00
9,-1347,150,2009-07-20 08:00:00
10,-1483,148,2009-07-20 09:00:00
11,-1679,70,2009-07-20 10:00:00
12,-1597,24,2009-07-20 11:00:00
13,-1600,-28,2009-07-20 12:00:00
14,-1453,-77,2009-07-20 13:00:00
15,-1466,-9,2009-07-20 14:00:00
16,-1614,81,2009-07-20 15:00:00
17,-1670,62,2009-07-20 16:00:00
18,-1670,163,2009-07-20 17:00:00
19,-1142,330,2009-07-20 18:00:00
20,-1382,249,2009-07-20 19:00:00
21,-1760,120,2009-07-20 20:00:00
22,-1927,66,2009-07-20 21:00:00
23,-2345,7,2009-07-20 22:00:00
24,-2369,-27,2009-07-20 23:00:00
1,-2188,-18,2009-08-20
2,-2242,58,2009-08-20 01:00:00
3,-2235,59,2009-08-20 02:00:00
4,-2252,46,2009-08-20 03:00:00
5,-2202,32,2009-08-20 04:00:00
6,-2109,35,2009-08-20 05:00:00
7,-2372,31,2009-08-20 06:00:00
8,-2430,54,2009-08-20 07:00:00
9,-2394,146,2009-08-20 08:00:00
10,-1980,113,2009-08-20 09:00:00
11,-2023,89,2009-08-20 10:00:00
12,-1824,21,2009-08-20 11:00:00
13,-1745,239,2009-08-20 12:00:00
14,-1672,213,2009-08-20 13:00:00
15,-1861,164,2009-08-20 14:00:00
16,-1902,131,2009-08-20 15:00:00
17,-2029,157,2009-08-20 16:00:00
18,-1523,276,2009-08-20 17:00:00
19,-1214,288,2009-08-20 18:00:00
20,-998,279,2009-08-20 19:00:00
21,-1254,205,2009-08-20 20:00:00
22,-2099,271,2009-08-20 21:00:00
23,-2404,64,2009-08-20 22:00:00
24,-2403,121,2009-08-20 23:00:00
1,-2283,12,2009-09-20
2,-2288,48,2009-09-20 01:00:00
3,-2193,-54,2009-09-20 02:00:00
4,-2140,-36,2009-09-20 03:00:00
5,-2257,65,2009-09-20 04:00:00
6,-2249,86,2009-09-20 05:00:00
7,-1854,128,2009-09-20 06:00:00
8,-1829,142,2009-09-20 07:00:00
9,-2190,110,2009-09-20 08:00:00
10,-2074,-32,2009-09-20 09:00:00
11,-2234,-29,2009-09-20 10:00:00
12,-2276,97,2009-09-20 11:00:00
13,-2111,-2,2009-09-20 12:00:00
14,-2112,-5,2009-09-20 13:00:00
15,-1292,-20,2009-09-20 14:00:00
16,-1180,54,2009-09-20 15:00:00
17,-1046,3,2009-09-20 16:00:00
18,-1337,76,2009-09-20 17:00:00
19,-722,186,2009-09-20 18:00:00
20,-345,223,2009-09-20 19:00:00
21,-773,155,2009-09-20 20:00:00
22,-1422,26,2009-09-20 21:00:00
23,-2395,-15,2009-09-20 22:00:00
24,-2184,-4,2009-09-20 23:00:00
1,-2075,-15,2009-10-20
2,-2154,-6,2009-10-20 01:00:00
3,-2124,-8,2009-10-20 02:00:00
4,-2109,-11,2009-10-20 03:00:00
5,-2147,-10,2009-10-20 04:00:00
6,-2058,-2,2009-10-20 05:00:00
7,-1877,2,2009-10-20 06:00:00
8,-2111,40,2009-10-20 07:00:00
9,-2232,27,2009-10-20 08:00:00
10,-2395,8,2009-10-20 09:00:00
11,-2360,-21,2009-10-20 10:00:00
12,-2092,-8,2009-10-20 11:00:00
13,-2180,-5,2009-10-20 12:00:00
14,-1952,-90,2009-10-20 13:00:00
15,-1169,-118,2009-10-20 14:00:00
16,-1150,-110,2009-10-20 15:00:00
17,-1281,46,2009-10-20 16:00:00
18,-1237,97,2009-10-20 17:00:00
19,-771,96,2009-10-20 18:00:00
20,-361,117,2009-10-20 19:00:00
21,-438,77,2009-10-20 20:00:00
22,-1611,12,2009-10-20 21:00:00
23,-2352,16,2009-10-20 22:00:00
24,-2364,-43,2009-10-20 23:00:00
1,-2272,-52,2009-11-20
2,-1969,-267,2009-11-20 01:00:00
3,-1934,-297,2009-11-20 02:00:00
4,-1932,-295,2009-11-20 03:00:00
5,-2076,-162,2009-11-20 04:00:00
6,-2134,-71,2009-11-20 05:00:00
7,-2027,-24,2009-11-20 06:00:00
8,-2211,-18,2009-11-20 07:00:00
9,-2379,-85,2009-11-20 08:00:00
10,-2392,-95,2009-11-20 09:00:00
11,-2390,-77,2009-11-20 10:00:00
12,-2382,11,2009-11-20 11:00:00
13,-2368,0,2009-11-20 12:00:00
14,-2321,-4,2009-11-20 13:00:00
15,-2020,9,2009-11-20 14:00:00
16,-1157,128,2009-11-20 15:00:00
17,-1377,272,2009-11-20 16:00:00
18,-1391,316,2009-11-20 17:00:00
19,-1490,306,2009-11-20 18:00:00
20,-1323,291,2009-11-20 19:00:00
21,-1821,190,2009-11-20 20:00:00
22,-1839,191,2009-11-20 21:00:00
23,-1953,-70,2009-11-20 22:00:00
24,-1925,-115,2009-11-20 23:00:00
1,-1869,-237,2009-12-20
2,-1883,-254,2009-12-20 01:00:00
3,-1828,-226,2009-12-20 02:00:00
4,-1796,-214,2009-12-20 03:00:00
5,-1928,-149,2009-12-20 04:00:00
6,-2101,-59,2009-12-20 05:00:00
7,-2197,36,2009-12-20 06:00:00
8,-2441,139,2009-12-20 07:00:00
9,-2400,264,2009-12-20 08:00:00
10,-2406,323,2009-12-20 09:00:00
11,-2365,214,2009-12-20 10:00:00
12,-2362,198,2009-12-20 11:00:00
13,-2347,182,2009-12-20 12:00:00
14,-2337,149,2009-12-20 13:00:00
15,-2254,195,2009-12-20 14:00:00
16,-2160,296,2009-12-20 15:00:00
17,-2197,340,2009-12-20 16:00:00
18,-2344,313,2009-12-20 17:00:00
19,-2357,290,2009-12-20 18:00:00
20,-2369,261,2009-12-20 19:00:00
21,-2369,254,2009-12-20 20:00:00
22,-2264,256,2009-12-20 21:00:00
23,-2421,196,2009-12-20 22:00:00
24,-2206,23,2009-12-20 23:00:00
1,-1952,-389,2010-01-20
2,-1946,-458,2010-01-20 01:00:00
3,-1954,-445,2010-01-20 02:00:00
4,-1965,-434,2010-01-20 03:00:00
5,-1983,-361,2010-01-20 04:00:00
6,-1940,-268,2010-01-20 05:00:00
7,-1905,-238,2010-01-20 06:00:00
8,-1913,-219,2010-01-20 07:00:00
9,-1926,-188,2010-01-20 08:00:00
10,-1881,-229,2010-01-20 09:00:00
11,-1876,-170,2010-01-20 10:00:00
12,-1893,-94,2010-01-20 11:00:00
13,-1920,-115,2010-01-20 12:00:00
14,-1910,-159,2010-01-20 13:00:00
15,-1873,-148,2010-01-20 14:00:00
16,-1875,56,2010-01-20 15:00:00
17,-1876,127,2010-01-20 16:00:00
18,-1919,291,2010-01-20 17:00:00
19,-1979,152,2010-01-20 18:00:00
20,-1996,-37,2010-01-20 19:00:00
21,-1945,-136,2010-01-20 20:00:00
22,-1937,-199,2010-01-20 21:00:00
23,-1951,-243,2010-01-20 22:00:00
24,-1954,-384,2010-01-20 23:00:00
1,-1931,-497,2010-02-20
2,-1956,-496,2010-02-20 01:00:00
3,-1982,-442,2010-02-20 02:00:00
4,-1971,-467,2010-02-20 03:00:00
5,-1980,-468,2010-02-20 04:00:00
6,-1918,-481,2010-02-20 05:00:00
7,-1869,-245,2010-02-20 06:00:00
8,-1941,-182,2010-02-20 07:00:00
9,-1956,-3,2010-02-20 08:00:00
10,-1965,0,2010-02-20 09:00:00
11,-1952,0,2010-02-20 10:00:00
12,-1933,0,2010-02-20 11:00:00
13,-1929,0,2010-02-20 12:00:00
14,-1937,0,2010-02-20 13:00:00
15,-1927,0,2010-02-20 14:00:00
16,-1924,0,2010-02-20 15:00:00
17,-1927,0,2010-02-20 16:00:00
18,-1908,0,2010-02-20 17:00:00
19,-1750,0,2010-02-20 18:00:00
20,-1750,0,2010-02-20 19:00:00
21,-1940,0,2010-02-20 20:00:00
22,-1928,0,2010-02-20 21:00:00
23,-1925,0,2010-02-20 22:00:00
24,-1926,0,2010-02-20 23:00:00
1,-1948,0,2010-03-20
2,-1920,0,2010-03-20 01:00:00
3,-1924,0,2010-03-20 02:00:00
4,-1935,0,2010-03-20 03:00:00
5,-1972,0,2010-03-20 04:00:00
6,-1934,0,2010-03-20 05:00:00
7,-1946,0,2010-03-20 06:00:00
8,-1951,0,2010-03-20 07:00:00
9,-1912,0,2010-03-20 08:00:00
10,-1863,0,2010-03-20 09:00:00
11,-1897,0,2010-03-20 10:00:00
12,-1939,0,2010-03-20 11:00:00
13,-1942,0,2010-03-20 12:00:00
14,-1927,0,2010-03-20 13:00:00
15,-1920,0,2010-03-20 14:00:00
16,-1922,0,2010-03-20 15:00:00
17,-1931,0,2010-03-20 16:00:00
18,-1920,0,2010-03-20 17:00:00
19,-1945,0,2010-03-20 18:00:00
20,-1929,0,2010-03-20 19:00:00
21,-1911,0,2010-03-20 20:00:00
22,-1919,0,2010-03-20 21:00:00
23,-1949,0,2010-03-20 22:00:00
24,-1892,0,2010-03-20 23:00:00
1,-1896,0,2010-04-20
2,-1900,0,2010-04-20 01:00:00
3,-1890,0,2010-04-20 02:00:00
4,-1915,0,2010-04-20 03:00:00
5,-1933,0,2010-04-20 04:00:00
6,-1950,0,2010-04-20 05:00:00
7,-1937,0,2010-04-20 06:00:00
8,-1939,0,2010-04-20 07:00:00
9,-1950,0,2010-04-20 08:00:00
10,-1945,0,2010-04-20 09:00:00
11,-1925,0,2010-04-20 10:00:00
12,-1893,0,2010-04-20 11:00:00
13,-1909,0,2010-04-20 12:00:00
14,-1922,0,2010-04-20 13:00:00
