"bike_latitude","bike_longitude","station_name","event","timestamp"
48.419797,-123.37618,"Superior St. & Oswego St.","returned",2026-09-02 10:51:37.171458
48.440029,-123.354793,"Graham St. & Hillside Ave.","taken_out",2026-09-02 10:52:38.445343
48.439011,-123.36233,"Kings Rd. & Wark St.","returned",2026-09-02 10:52:38.445343
48.439011,-123.36233,"Kings Rd. & Wark St.","taken_out",2026-09-02 10:53:40.421303
48.438958,-123.362779,"Kings Rd. & Wark St.","returned",2026-09-02 10:53:40.421303
48.438958,-123.362779,"Kings Rd. & Wark St.","taken_out",2026-09-02 10:54:42.101005
48.436411,-123.388136,"Raynor Ave. & Craigflower Rd.","returned",2026-09-02 10:54:42.101005
48.436611,-123.364956,"Kings Rd. & Westbourne Pl.","returned",2026-09-02 10:54:42.101005
48.425946,-123.355959,"Vancouver St. & Johnson St.","returned",2026-09-02 10:54:42.101005
48.426419,-123.365318,"Yates St. & Douglas St.","taken_out",2026-09-02 10:55:43.624389
48.425882,-123.35611,"Vancouver St. & Johnson St.","returned",2026-09-02 10:55:43.624389
48.43663,-123.365016,"Kings Rd. & Westbourne Pl.","returned",2026-09-02 10:56:44.985624
48.436621,-123.365023,"Kings Rd. & Westbourne Pl.","returned",2026-09-02 10:56:44.985624
48.426825,-123.36843,"Yates St. & Langley St.","taken_out",2026-09-02 11:00:51.569773
48.425871,-123.356078,"Vancouver St. & Johnson St.","taken_out",2026-09-02 11:00:51.569773
48.426215,-123.362184,"Blanshard St. & Yates St.","returned",2026-09-02 11:00:51.569773
48.412563,-123.368009,"Simcoe St. & Douglas St.","taken_out",2026-09-02 11:01:53.812551
48.434431,-123.367191,"Government St. & Queens Ave.","returned",2026-09-02 11:01:53.812551
